accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score
87,Hyderabad,Telangana,17.512138,78.471549,2024-04-24,6:00,6,Wednesday,0,highway,1,0,rain,low,30,low,poor road,minor,5,5,0,None,0.45
88,Mumbai,Maharashtra,18.803193,72.982741,2022-09-28,4:00,4,Wednesday,0,highway,3,0,fog,low,19,low,distraction,minor,5,4,0,None,0.45
89,Delhi,Delhi,28.838921,76.991482,2025-02-16,22:00,22,Sunday,1,highway,3,0,clear,high,24,high,distraction,minor,2,1,0,None,0.3
90,Hyderabad,Telangana,17.470165,78.472552,2022-09-24,2:00,2,Saturday,1,urban,3,1,rain,medium,20,medium,weather,major,1,1,0,None,0.25
91,Pune,Maharashtra,18.537548,73.723176,2022-10-14,23:00,23,Friday,0,rural,3,0,rain,medium,38,high,drunk driving,major,5,3,0,None,0.45
92,Bangalore,Karnataka,12.941515,77.674347,2024-11-14,5:00,5,Thursday,0,rural,6,0,fog,low,35,high,overspeeding,minor,3,1,0,None,0.65
93,Pune,Maharashtra,18.467712,73.954984,2025-03-14,9:00,9,Friday,0,rural,1,1,fog,low,18,high,poor road,minor,5,5,1,None,0.8
94,Hyderabad,Telangana,17.44697,78.449607,2023-09-19,18:00,18,Tuesday,0,urban,1,0,fog,low,19,high,overspeeding,minor,2,1,1,None,0.8
95,Mumbai,Maharashtra,19.250366,72.762997,2024-06-06,22:00,22,Thursday,0,urban,4,0,fog,low,35,medium,poor road,major,4,4,0,None,0.45
96,Kolkata,West Bengal,22.48522,88.321126,2022-09-05,2:00,2,Monday,0,rural,4,1,clear,high,37,low,overspeeding,minor,3,3,0,None,0.1
97,Chandigarh,Punjab,30.662289,76.860184,2024-08-03,7:00,7,Saturday,1,rural,4,0,clear,high,27,medium,weather,major,3,0,0,None,0.1
98,Pune,Maharashtra,18.687205,73.858717,2023-03-22,17:00,17,Wednesday,0,highway,4,0,clear,high,16,medium,distraction,major,4,4,1,None,0.25
99,Chandigarh,Punjab,30.729891,76.786151,2022-04-17,6:00,6,Sunday,1,highway,2,0,fog,low,34,low,drunk driving,minor,5,2,0,None,0.45
100,Chennai,Tamil Nadu,12.810721,80.19735,2023-08-05,18:00,18,Saturday,1,urban,2,1,fog,low,36,high,poor road,minor,4,2,1,None,0.8
101,Kolkata,West Bengal,22.537913,88.323836,2023-07-16,23:00,23,Sunday,1,highway,5,1,rain,low,40,high,distraction,minor,3,1,0,None,0.65
102,Bangalore,Karnataka,13.045999,77.520041,2023-04-24,12:00,12,Monday,0,urban,4,1,rain,medium,26,low,distraction,fatal,1,1,0,None,0.45
103,Bangalore,Karnataka,12.848361,77.433807,2022-10-26,7:00,7,Wednesday,0,rural,2,0,clear,high,25,medium,drunk driving,major,1,0,0,None,0.1
104,Bangalore,Karnataka,13.057964,77.590444,2023-12-10,20:00,20,Sunday,1,highway,2,0,clear,high,40,medium,drunk driving,minor,4,0,0,None,0.1
105,Mumbai,Maharashtra,18.990602,72.799954,2024-12-09,20:00,20,Monday,0,highway,2,1,rain,low,23,low,drunk driving,major,1,0,0,None,0.45
106,Hyderabad,Telangana,17.426893,78.488724,2024-03-01,13:00,13,Friday,0,highway,4,1,fog,low,39,low,distraction,minor,5,1,0,None,0.45
107,Mumbai,Maharashtra,18.838523,72.976824,2023-11-22,22:00,22,Wednesday,0,rural,1,1,rain,medium,15,low,drunk driving,minor,5,1,0,None,0.25
108,Chennai,Tamil Nadu,13.10543,80.11737,2023-12-20,4:00,4,Wednesday,0,rural,6,0,clear,high,29,medium,weather,minor,2,1,0,None,0.1
109,Delhi,Delhi,28.519189,76.859451,2024-02-03,2:00,2,Saturday,1,rural,1,0,rain,low,27,high,poor road,minor,1,0,0,None,0.65
110,Bangalore,Karnataka,12.94701,77.785423,2024-11-19,16:00,16,Tuesday,0,rural,1,0,clear,high,34,low,distraction,minor,5,5,0,None,0.1
111,Hyderabad,Telangana,17.49119,78.27063,2025-02-15,8:00,8,Saturday,1,urban,4,0,rain,low,31,high,poor road,minor,3,0,1,None,0.8
112,Chennai,Tamil Nadu,12.812744,80.226751,2022-09-07,20:00,20,Wednesday,0,highway,2,0,fog,low,17,low,drunk driving,major,5,2,0,None,0.45
113,Chennai,Tamil Nadu,13.126298,80.273119,2024-07-07,9:00,9,Sunday,1,highway,6,1,clear,high,34,medium,overspeeding,major,4,1,1,None,0.25
114,Kolkata,West Bengal,22.686595,88.399393,2024-08-31,15:00,15,Saturday,1,rural,6,0,fog,low,31,medium,weather,fatal,1,1,0,None,0.65
115,Hyderabad,Telangana,17.416162,78.471995,2022-02-12,11:00,11,Saturday,1,rural,4,1,rain,low,17,high,distraction,minor,3,1,0,None,0.65
116,Chennai,Tamil Nadu,12.829772,80.266893,2023-11-23,5:00,5,Thursday,0,rural,3,0,rain,low,24,high,overspeeding,minor,2,1,0,None,0.65
117,Chandigarh,Punjab,30.703228,76.745141,2022-04-20,22:00,22,Wednesday,0,highway,5,0,rain,low,36,high,drunk driving,minor,4,4,0,None,0.65
118,Pune,Maharashtra,18.671835,73.77906,2023-06-09,13:00,13,Friday,0,urban,3,0,rain,low,18,low,poor road,minor,1,1,0,None,0.45
119,Chandigarh,Punjab,30.780406,76.759015,2024-11-28,19:00,19,Thursday,0,rural,1,0,rain,medium,26,high,drunk driving,major,3,0,1,None,0.6
120,Bangalore,Karnataka,12.863873,77.573049,2023-06-23,14:00,14,Friday,0,rural,3,0,clear,high,20,high,drunk driving,major,4,0,0,None,0.3
121,Chandigarh,Punjab,30.612508,76.8941,2024-09-07,11:00,11,Saturday,1,highway,2,1,rain,medium,15,medium,drunk driving,minor,3,2,0,None,0.25
122,Pune,Maharashtra,18.613759,73.739609,2022-11-08,17:00,17,Tuesday,0,highway,5,0,clear,high,16,high,weather,major,4,1,1,None,0.45
123,Kolkata,West Bengal,22.615566,88.245733,2022-09-02,13:00,13,Friday,0,urban,4,1,clear,high,25,low,poor road,major,3,1,0,None,0.1
124,Chennai,Tamil Nadu,12.917829,80.107956,2022-09-09,0:00,0,Friday,0,highway,6,0,rain,medium,40,high,overspeeding,major,2,0,0,None,0.45
125,Chandigarh,Punjab,30.669447,76.798384,2024-07-14,13:00,13,Sunday,1,urban,5,1,fog,low,38,medium,weather,minor,4,3,0,None,0.45
126,Chennai,Tamil Nadu,13.023148,80.267046,2023-10-24,22:00,22,Tuesday,0,rural,4,0,clear,high,36,low,distraction,major,3,3,0,None,0.1
127,Hyderabad,Telangana,17.469395,78.426902,2022-06-12,23:00,23,Sunday,1,urban,1,0,rain,low,17,medium,poor road,major,3,1,0,None,0.45
128,Pune,Maharashtra,18.445959,73.866259,2022-12-05,13:00,13,Monday,0,rural,4,1,clear,high,20,medium,distraction,major,2,2,0,None,0.1
129,Bangalore,Karnataka,12.810804,77.644324,2023-04-12,15:00,15,Wednesday,0,highway,3,0,fog,low,31,low,weather,minor,1,1,0,None,0.45
130,Kolkata,West Bengal,22.605036,88.211938,2022-07-06,20:00,20,Wednesday,0,urban,5,1,rain,medium,22,medium,overspeeding,major,1,1,0,None,0.25
131,Chandigarh,Punjab,30.749547,76.70627,2024-01-17,5:00,5,Wednesday,0,urban,1,0,fog,low,24,high,poor road,minor,4,2,0,None,0.65
132,Delhi,Delhi,28.8028,76.835013,2022-06-27,15:00,15,Monday,0,highway,4,0,rain,medium,19,low,drunk driving,fatal,2,2,0,None,0.45
133,Pune,Maharashtra,18.571932,73.724503,2025-01-21,3:00,3,Tuesday,0,highway,2,0,clear,high,31,low,drunk driving,major,3,0,0,None,0.1
134,Bangalore,Karnataka,12.913562,77.619006,2023-10-30,19:00,19,Monday,0,highway,3,0,rain,medium,34,medium,poor road,major,4,3,1,None,0.4
135,Chandigarh,Punjab,30.771578,76.798125,2023-09-24,20:00,20,Sunday,1,highway,3,1,rain,medium,25,high,weather,fatal,5,5,0,None,0.65
136,Chennai,Tamil Nadu,12.910539,80.183088,2023-07-08,12:00,12,Saturday,1,highway,5,1,clear,high,28,high,poor road,minor,3,2,0,None,0.3
137,Hyderabad,Telangana,17.57514,78.484234,2023-07-23,0:00,0,Sunday,1,highway,5,0,rain,low,17,low,distraction,major,1,0,0,None,0.45
138,Pune,Maharashtra,18.697073,73.828047,2022-11-28,4:00,4,Monday,0,highway,2,0,clear,high,20,high,weather,minor,5,2,0,None,0.3
139,Mumbai,Maharashtra,19.257558,72.75368,2024-02-13,10:00,10,Tuesday,0,highway,3,1,fog,low,30,high,weather,major,3,0,1,None,0.8
140,Chennai,Tamil Nadu,13.099257,80.226182,2024-09-21,8:00,8,Saturday,1,urban,4,0,rain,low,32,high,poor road,major,1,0,1,None,0.8
141,Chandigarh,Punjab,30.612831,76.810119,2024-11-23,22:00,22,Saturday,1,highway,4,1,rain,medium,17,medium,drunk driving,minor,4,4,0,None,0.25
142,Bangalore,Karnataka,12.851488,77.589232,2024-10-22,21:00,21,Tuesday,0,urban,2,1,fog,low,36,high,drunk driving,minor,1,0,0,None,0.65
143,Kolkata,West Bengal,22.408139,88.322983,2023-12-27,21:00,21,Wednesday,0,rural,3,0,rain,medium,29,high,distraction,minor,1,0,0,None,0.45
144,Kolkata,West Bengal,22.470344,88.318475,2022-06-05,6:00,6,Sunday,1,urban,3,1,clear,high,38,medium,drunk driving,minor,3,3,0,None,0.1
145,Kolkata,West Bengal,22.672696,88.400666,2023-01-27,15:00,15,Friday,0,highway,2,0,clear,high,28,low,distraction,major,2,1,0,None,0.1
146,Chennai,Tamil Nadu,13.145041,80.133716,2022-05-06,7:00,7,Friday,0,highway,5,0,fog,low,15,high,weather,major,1,0,0,None,0.65
147,Kolkata,West Bengal,22.524367,88.453597,2024-07-31,1:00,1,Wednesday,0,urban,5,0,rain,medium,26,low,weather,minor,2,0,0,None,0.25
148,Bangalore,Karnataka,13.055067,77.418018,2023-10-19,11:00,11,Thursday,0,rural,4,1,rain,low,30,low,distraction,minor,3,2,0,None,0.45
149,Delhi,Delhi,28.654528,76.925723,2022-10-05,2:00,2,Wednesday,0,urban,4,1,rain,low,35,low,weather,major,5,2,0,None,0.45
150,Bangalore,Karnataka,13.174917,77.602348,2023-11-04,21:00,21,Saturday,1,rural,4,1,rain,low,29,medium,drunk driving,major,4,4,0,None,0.45
151,Pune,Maharashtra,18.479329,73.88208,2022-11-06,22:00,22,Sunday,1,rural,6,0,clear,high,33,low,poor road,fatal,5,5,0,None,0.3
152,Chandigarh,Punjab,30.65561,76.831544,2024-04-25,3:00,3,Thursday,0,highway,6,1,rain,medium,25,low,poor road,fatal,1,1,0,None,0.45
153,Bangalore,Karnataka,13.052805,77.617588,2024-07-23,14:00,14,Tuesday,0,urban,3,1,rain,medium,26,medium,weather,minor,5,0,0,None,0.25
154,Delhi,Delhi,28.834402,77.209459,2022-12-23,12:00,12,Friday,0,rural,5,1,fog,low,33,medium,poor road,fatal,3,3,0,None,0.65
155,Mumbai,Maharashtra,19.090344,72.902108,2022-03-28,10:00,10,Monday,0,urban,6,0,clear,high,35,high,weather,fatal,2,2,1,None,0.65
156,Chennai,Tamil Nadu,13.196352,80.138535,2023-02-04,7:00,7,Saturday,1,urban,5,0,fog,low,32,medium,drunk driving,minor,1,1,0,None,0.45
157,Chennai,Tamil Nadu,13.152998,80.258685,2024-09-15,22:00,22,Sunday,1,rural,1,0,fog,low,19,high,distraction,major,4,2,0,None,0.65
158,Delhi,Delhi,28.671166,77.064188,2023-02-25,3:00,3,Saturday,1,rural,6,1,clear,high,27,high,distraction,minor,4,3,0,None,0.3
159,Kolkata,West Bengal,22.535434,88.290362,2025-01-09,8:00,8,Thursday,0,highway,5,0,clear,high,33,low,distraction,major,1,1,1,None,0.25
160,Pune,Maharashtra,18.522797,73.933778,2022-05-17,20:00,20,Tuesday,0,urban,4,0,fog,low,17,high,poor road,fatal,1,1,0,None,0.85
161,Bangalore,Karnataka,12.828296,77.719866,2025-01-31,1:00,1,Friday,0,rural,3,1,fog,low,35,low,overspeeding,major,2,0,0,None,0.45
162,Pune,Maharashtra,18.435528,73.934128,2023-05-20,11:00,11,Saturday,1,rural,1,1,rain,low,19,low,poor road,major,5,1,0,None,0.45
163,Chennai,Tamil Nadu,12.921984,80.115306,2023-03-24,18:00,18,Friday,0,rural,5,1,clear,high,21,medium,poor road,major,5,5,1,None,0.25
164,Chennai,Tamil Nadu,12.841819,80.258805,2022-05-06,0:00,0,Friday,0,rural,2,1,rain,low,37,low,drunk driving,minor,4,0,0,None,0.45
165,Delhi,Delhi,28.492703,76.815886,2022-04-12,7:00,7,Tuesday,0,highway,1,1,fog,low,17,high,weather,major,4,3,0,None,0.65
166,Chandigarh,Punjab,30.677187,76.727473,2025-03-30,4:00,4,Sunday,1,rural,4,0,rain,low,16,medium,drunk driving,fatal,5,5,0,None,0.65
167,Bangalore,Karnataka,13.068595,77.762442,2022-12-22,17:00,17,Thursday,0,urban,1,1,clear,high,33,medium,poor road,fatal,5,5,1,None,0.45
168,Chennai,Tamil Nadu,12.891896,80.227598,2022-01-21,18:00,18,Friday,0,urban,3,1,clear,high,29,high,poor road,minor,2,1,1,None,0.45
169,Chandigarh,Punjab,30.788551,76.774195,2022-01-22,7:00,7,Saturday,1,highway,5,1,rain,low,37,low,drunk driving,minor,4,3,0,None,0.45
170,Chennai,Tamil Nadu,13.057219,80.184551,2022-09-18,6:00,6,Sunday,1,highway,6,1,rain,low,38,medium,drunk driving,fatal,4,4,0,None,0.65
171,Delhi,Delhi,28.555907,77.177935,2022-09-02,21:00,21,Friday,0,highway,1,1,fog,low,37,low,drunk driving,minor,4,0,0,None,0.45
